,name,id,type,price,material,description,colors,sizes,details
37,Cotton Check Blouson,821346V4Y602408,Outerwear,4600,"60% cotton, 35% viscose, 5% polyamide",Blouson in check structured cotton with leather collar.,Pollen/Brown/Navy,44/46/48/50,Structured cotton check blouson |Structured cotton check blouson |Leather collar|Button closure|Lined
38,Intrecciato Leather Blouson,811525V2JG02113,Outerwear,12000,100% lambskin,Blouson made with Intrecciato craftsmanship in soft leather.,Fondant,42/44/46/48/50/52/54/56,Intrecciato lambskin blouson|Intrecciato lambskin blouson|Regular fit|Zipper closure|Ribbed cuffs and hem|Lined
39,Wool Grain De Poudre Jacket,815130V4C202182,Outerwear,3200,100% wool,Double breasted jacket in compact wool grain de poudre.,Limonite,44/46/48/50/52,Compact wool grain de poudre double breasted jacket|Compact wool grain de poudre double breasted jacket|Button closure|Fully lined|Regular fit
40,Wool Grain De Poudre Blouson,815283V4C206113,Outerwear,2400,100% wool,Blouson in compact wool grain de poudre.,Eclipse,44/46/48/50/52/54/56,Compact wool grain de poudre blouson|Compact wool grain de poudre blouson|Button closure
41,Cotton Gingham Blouson,811382V4Y804902,Outerwear,2950,"60% cotton, 35% viscose, 5% polyamide",Blouson in gingham structured cotton.,Navy/Lake/Maroon,44/46/48/50/52/54,Structured cotton gingham blouson|Structured cotton gingham blouson|Ribbed cuffs and hem|Zipper closure|Lined
42,Vintage Indigo Denim Jacket,813522V42W04715,Outerwear,2900,100% cotton,"Padded jacket in vintage indigo washed denim. Features a wool lining and contrasting
             suede collar.",Mid Blue,42/44/46/48/50/52/54/56,Vintage indigo wash denim padded jacket with wool lining|Vintage indigo wash denim padded jacket with wool lining|Contrasted suede collar |Special label on the chest pocket|Button closure|Lined|Regular fit
43,Shearling Aviator Blouson,808937V4VO18262,Outerwear,9600,100% lambskin,Aviator blouson in Auckland shearling.,Bitter Chocolate/Birch,46/48/50/52,Auckland shearling aviator blouson|Auckland shearling aviator blouson|Oily effect|Zipper closure
44,Printed Shearling Blouson,816224V53T08912,Outerwear,11700,100% lambskin,Zip blouson in soft shearling with tartan check print.,Red/Black,46/48/50,Tartan check printed shearling zip blouson|Tartan check printed shearling zip blouson|Button closure 
45,Striped Wool Jacket,814025V36K01292,Outerwear,3500,"60% cotton, 35% viscose, 5% polyamide",Double breasted jacket in subtle striped wool.,Black/Dark Blue,44/46/48/50/52/54,Subtle striped wool double breasted jacket|Subtle striped wool double breasted jacket|Button closure|Lined 
46,Boucle Gingham Wool Jacket,812150V4Y901759,Outerwear,3400,"90% wool, 10% polyamide",Single breasted jacket in gingham bouclé wool.,Black/Pearl/Khaki,44/46/48/50/52,Boucle gingham wool single breasted jacket|Boucle gingham wool single breasted jacket|Special label on the interior|Button closure|Fully lined|Regular fit
