,name,id,type,price,material,description,colors,sizes,imageCount
38,Straight Denim,6922651205704,Denim,68.0,100% cotton,"The New Straight Denim Are Designed With Our New And Updated Relaxed Fit, Which Is Relaxed Throughout For Increased Comfort And Updated Look, And Is Constructed From 100% 13 Oz Indigo Cotton Denim With A Medium Vintage Wash, And Finished With Traditional Five Pocket Denim Details.",Medium Blue,28/29/30/31/32/33/34/36/38/40/42,7
39,X738 Chewed Up Denim,6914534735944,Denim,68.0,98% cotton 2% spandex,"The X738 Chewed Up Denim Is Designed With Our New X Fit Which Is Skinny Throughout With An Extended Inseam For Stacking, And Features A Vintage Indigo Wash And  Distressing At The Knees And Thighs.",Stone Washed Shadow,28/29/30/31/32/33/34/36/38/40/42,7
40,Ultra Baggy Bandana Patch Denim,6907634843720,Denim,98.0,100% cotton,"The Ultra Baggy Bandana Patch Denim Are Designed With A New Oversized Ultra Baggy Fit, Constructed From Black Denim With A Vintage Wash, Featuring Standard Five Pocket Denim Details, Distressing And Repair Details, Paisley Printed Patches In Multiple Colors Throughout, And Finished With A Button Placket.",Washed Black,28/29/30/31/32/33/34/36/38/40/42,7
41,Straight Denim,6922651598920,Denim,68.0,100% cotton,"The New Straight Denim Are Designed With Our New And Updated Relaxed Fit, Which Is Relaxed Throughout For Increased Comfort And Updated Look, And Is Constructed From 100% 13 Oz Black Cotton Denim With A Vintage Wash, And Finished With Traditional Five Pocket Denim Details.",Washed Black,28/29/30/31/32/33/34/36/38/40/42,8
42,Bootcut Denim,6922651435080,Denim,68.0,100% cotton,"The New Bootcut Denim Are Designed With Our New And Updated Bootcut Fit, Which Is Relaxed Through The Thigh And Features A Slight Flare At The Leg Opening And Is Constructed From 100% 13 Oz Indigo Cotton Denim With A Dark Vintage Wash, And Finished With Traditional Five Pocket Denim Details.",Dark Vintage,28/29/30/31/32/33/34/36/38/40/42,9
43,Skinny Denim,6922651172936,Denim,64.0,92% cotton 7% polyester 1% spandex,"The New Skinny Denim Are Designed With Our New And Updated Skinny Fit, Which Is Skinny Throughout For Increased Comfort And Updated Look, And Is Constructed From Stretch 13 Oz Indigo Cotton Denim With A Medium Vintage Wash, And Finished With Traditional Five Pocket Denim Details.",Medium Blue,28/29/30/31/32/33/34/36/38/40/42,8
44,Baggy Dust Stone Denim Shorts,6914534899784,Denim,58.0,100% cotton,"The Baggy Dust Stone Denim Shorts Are Designed With A Baggy Fit Throughout, Featuring Traditional Five Pocket Denim Details, Completed Hem At The Leg Opening, And Finished With A Vintage Wash With Whiskering And A Vintage Tint.",Vintage Blue,28/29/30/31/32/33/34/36/38/40/42,8
45,Raw Straight Denim,6922651762760,Denim,74.0,100% cotton,"The New Raw Straight Denim Is Made From Deep Black 13 Oz Cotton Denim That Keeps The Look Of Raw With A Single Rinse To Reduce Dye Transfer And Shrinkage. The Color Stays Rich, The Structure Stays Sharp, And The Fabric Softens Slightly For A More Comfortable Wear From Day One. These Straight Denim Are Designed With Our New And Updated Relaxed Fit, Which Is Relaxed Throughout For Increased Comfort And Updated Look, And Finished With Traditional Five Pocket Denim Details.",Rinsed Black,28/29/30/31/32/33/34/36/38/40/42,7
46,Slim Denim,6922651566152,Denim,64.0,92% cotton 7% polyester 1% spandex,"The New Slim Denim Are Designed With Our New And Updated Slim Fit, Which Is Slim Throughout For An Updated Look, And Is Constructed From 13 Oz Black Stretch Cotton Denim With A Vintage Wash, And Finished With Traditional Five Pocket Denim Details.",Washed Black,28/29/30/31/32/33/34/36/38/40/42,7
47,Raw Baggy Denim,6922651500616,Denim,74.0,100% cotton,"The New Raw Baggy Denim Is Made From Deep Indigo 13 Oz Cotton Denim That Keeps The Look Of Raw With A Single Rinse To Reduce Dye Transfer And Shrinkage. The Color Stays Rich, The Structure Stays Sharp, And The Fabric Softens Slightly For A More Comfortable Wear From Day One. These Baggy Denim Are Designed With Our New And Updated Baggy Fit, Which Is Relaxed Throughout For Increased Comfort And Updated Look, And Is Finished With Traditional Five Pocket Denim Details.",Rinsed Indigo,28/29/30/31/32/33/34/36/38/40/42,8
